key,title,description,time,calories,tags,ingredients,steps
"sachertorte","Viennese Sachertorte","A famous, dense chocolate cake with a secret layer of apricot jam.","90 mins","450","Austrian | Dessert | Chocolate | Classic","Dark Chocolate | Butter | Eggs | Sugar | Flour | Apricot Jam","Step 1: Getting Ready. Melt chocolate and butter together until smooth. | Step 2: The Batter. Whisk egg yolks with sugar, then fold in the melted chocolate and flour. | Step 3: The Fluff. Gently fold in stiffly beaten egg whites. | Step 4: The Bake. Bake at 170°C for 45 mins. Once cool, slice in half and spread apricot jam in the middle. | Step 5: The Glaze. Cover the entire cake with a smooth layer of chocolate cream."
"lamington","Australian Lamingtons","Light sponge cake squares dipped in chocolate and rolled in coconut.","45 mins","220","Australian | Dessert | Quick | Sweet","Sponge Cake | Cocoa Powder | Icing Sugar | Butter | Desiccated Coconut","Step 1: The Squares. Cut the sponge cake into even 2-inch cubes. | Step 2: The Dip. Make a thin chocolate sauce with cocoa, sugar, and butter. | Step 3: The Coating. Dip each square into the chocolate sauce until covered. | Step 4: The Finish. Roll immediately in coconut until fully coated. Let set on a wire rack."
"tres leches","Three-Milk Cake (Tres Leches)","A soft sponge cake soaked in a rich mixture of three different types of milk.","60 mins","380","Latin American | Dessert | Creamy | Popular","Sponge Cake | Evaporated Milk | Condensed Milk | Heavy Cream | Whipped Cream","Step 1: The Poke. Bake a simple sponge cake and poke many holes in the top with a fork. | Step 2: The Soak. Mix the three milks together and pour slowly over the warm cake. | Step 3: The Chill. Let the cake sit in the fridge for at least 4 hours to soak up all the liquid. | Step 4: The Top. Spread a thick layer of whipped cream over the top before serving."
"panettone","Milanese Panettone","A tall, sweet Italian bread filled with raisins and candied fruit.","180 mins","310","Italian | Dessert | Holiday | Baking","Flour | Yeast | Butter | Eggs | Raisins | Candied Orange Peel","Step 1: The Dough. Create a soft, buttery yeast dough and let it rise until very light. | Step 2: The Fruit. Fold in the raisins and candied fruit pieces. | Step 3: The Shape. Place in a tall, cylindrical paper mold. | Step 4: The Bake. Bake until high and golden brown. Hang upside down to cool so it stays fluffy."
"macaron","Parisian Macarons","Delicate almond cookies with a smooth, creamy filling.","60 mins","90","French | Dessert | Fine Pastry | Colorful","Almond Flour | Icing Sugar | Egg Whites | Granulated Sugar | Buttercream or Ganache","Step 1: The Mix. Whisk egg whites into a stiff foam. Gently fold in almond flour and icing sugar. | Step 2: The Pipe. Squeeze small circles onto a baking sheet. Let them sit for 30 mins to form a skin. | Step 3: The Bake. Bake at low heat until they have 'feet' and a smooth top. | Step 4: The Fill. Sandwich two cookies together with a dollop of chocolate cream or jam."
"turkish delight","Traditional Turkish Delight","Sweet, chewy squares flavored with rosewater or lemon and dusted with sugar.","120 mins","120","Turkish | Dessert | Confectionery | Sweet","Sugar | Cornstarch | Water | Lemon Juice | Rosewater | Chopped Pistachios","Step 1: The Syrup. Boil sugar and water with lemon juice to create a thick syrup. | Step 2: The Thickener. Whisk in cornstarch and water until the mixture is very thick and glue-like. | Step 3: The Flavor. Stir in rosewater and nuts. Pour into a greased tray. | Step 4: The Set. Let it cool for several hours, then cut into cubes and roll in extra starch and sugar."
"alfajores","South American Alfajores","Soft, melt-in-your-mouth cookies filled with sweet dulce de leche.","40 mins","190","South American | Dessert | Shortbread | Sweet","Cornstarch | Flour | Butter | Sugar | Egg Yolks | Dulce de Leche | Coconut","Step 1: The Dough. Mix butter and sugar, then add yolks and the flour/cornstarch mix. | Step 2: The Circles. Roll out and cut into small circles. Bake until just set but still pale. | Step 3: The Filling. Spread a thick layer of dulce de leche on one cookie and top with another. | Step 4: The Roll. Roll the edges in coconut so it sticks to the filling."
"creme brulee","Classic Crème Brûlée","A rich vanilla custard with a crispy, burnt sugar top.","45 mins","320","French | Dessert | Creamy | Classic","Heavy Cream | Vanilla Bean | Egg Yolks | Sugar","Step 1: The Custard. Heat cream with vanilla. Whisk yolks and sugar, then slowly stir in the warm cream. | Step 2: The Bake. Pour into small dishes and bake in a water bath until just wobbly. | Step 3: The Chill. Chill in the fridge for at least 2 hours. | Step 4: The Burn. Sprinkle sugar on top and use a torch (or broiler) to melt and brown the sugar until it forms a hard crust."
"sticky toffee pudding","British Sticky Toffee Pudding","A dark, moist date cake covered in a warm, buttery toffee sauce.","50 mins","540","British | Dessert | Comfort | Sweet","Dates | Baking Soda | Butter | Sugar | Eggs | Flour | Heavy Cream","Step 1: The Dates. Soak chopped dates in boiling water with baking soda until soft. | Step 2: The Cake. Mix butter, sugar, and eggs, then stir in the date mixture and flour. Bake until set. | Step 3: The Sauce. Boil butter, sugar, and cream until it becomes a thick, golden sauce. | Step 4: The Finish. Pour the hot sauce over the warm cake and serve with vanilla ice cream."
"baklava","Honey & Nut Baklava","Crispy layers of thin pastry filled with chopped nuts and soaked in honey syrup.","60 mins","330","Middle Eastern | Dessert | Crispy | Sweet","Phyllo Pastry | Butter | Walnuts or Pistachios | Honey | Sugar | Lemon Juice","Step 1: The Layers. Brush each thin pastry sheet with melted butter and stack them. | Step 2: The Nuts. Spread a thick layer of chopped nuts in the middle. | Step 3: The Bake. Cut into diamond shapes and bake until golden and crispy. | Step 4: The Syrup. Pour cold honey and sugar syrup over the hot pastry. Let it soak for hours."
"pastel de nata","Portuguese Egg Tart","A flaky puff pastry crust filled with a creamy, caramelized egg custard.","40 mins","210","Portuguese | Dessert | Pastry | Classic","Puff Pastry | Milk | Sugar | Egg Yolks | Cinnamon | Lemon Peel","Step 1: The Crust. Line small tart molds with thin layers of puff pastry. | Step 2: The Cream. Cook milk, sugar, and lemon peel. Whisk in yolks until smooth and thick. | Step 3: The Bake. Bake at very high heat until the custard has dark brown spots on top. | Step 4: The Serve. Dust with cinnamon and eat while still warm."
"tiramisu","Classic Italian Tiramisu","Layers of coffee-soaked cookies and light, sweet Italian cream cheese.","30 mins","420","Italian | Dessert | Coffee | No-Bake","Ladyfinger Cookies | Strong Coffee | Mascarpone | Egg Yolks | Sugar | Cocoa Powder","Step 1: The Coffee. Dip each cookie quickly into cold coffee. | Step 2: The Cream. Whisk yolks and sugar, then fold in the mascarpone and whipped whites. | Step 3: The Layering. Arrange cookies in a dish, cover with cream, and repeat. | Step 4: The Chill. Let it set in the fridge overnight. Dust heavily with cocoa powder before serving."
"pavlova","Summer Berry Pavlova","A light-as-air sweet egg white foam cake with a marshmallow center and fresh fruit.","90 mins","250","Australian | Dessert | Light | Fruit","Egg Whites | Sugar | Cornstarch | Vinegar | Whipped Cream | Fresh Berries","Step 1: The Foam. Whisk egg whites and sugar until they form very stiff, glossy peaks. | Step 2: The Shape. Mound the foam on a tray, making a small dip in the middle. | Step 3: The Bake. Bake at very low heat for an hour until the outside is dry and crispy. | Step 4: The Top. Fill the center with whipped cream and pile high with fresh berries."
"gelato","Artisanal Italian Gelato","A dense, smooth, and creamy frozen treat that is more flavorful than regular ice cream.","40 mins","180","Italian | Dessert | Frozen | Creamy","Milk | Heavy Cream | Sugar | Natural Flavors (Fruit, Nut, or Chocolate)","Step 1: The Base. Simmer milk, cream, and sugar. Do not let it boil. | Step 2: The Flavor. Stir in your chosen flavor (like crushed pistachios or cocoa). | Step 3: The Churn. Pour into an ice cream maker and churn slowly to avoid adding too much air. | Step 4: The Serve. Serve at a slightly warmer temperature than ice cream for the best texture."
"kulfi","Indian Cardamom Kulfi","A dense and creamy frozen dairy dessert, often flavored with cardamom and saffron.","60 mins","220","Indian | Dessert | Frozen | Traditional","Whole Milk | Sugar | Cardamom Powder | Saffron | Chopped Nuts","Step 1: The Reduction. Simmer milk on low heat for a long time until it reduces to 1/3 of its volume and becomes thick. | Step 2: The Sweetener. Stir in sugar and cardamom. Let it cool completely. | Step 3: The Freeze. Pour into molds and freeze until solid. | Step 4: Plating. Remove from molds and serve sliced with a sprinkle of nuts."
"arepas","Stuffed Corn Arepas","Golden cornmeal cakes grilled and stuffed with savory fillings like cheese or meat.","20 mins","310","Latin American | Street Food | Gluten-Free | Savory","Pre-cooked Cornmeal | Water | Salt | Cheese or Shredded Beef","Step 1: The Dough. Mix cornmeal, water, and salt until it forms a soft, smooth dough. | Step 2: The Discs. Shape into thick circles with your hands. | Step 3: The Grill. Sear in a pan with a little oil until both sides are golden and crispy. | Step 4: The Stuff. Slice open while hot and fill with plenty of cheese or meat."
"satay","Grilled Chicken Satay","Marinated meat skewers grilled over charcoal and served with a spicy peanut sauce.","30 mins","280","Southeast Asian | Street Food | Protein | Spicy","Chicken Thighs | Turmeric | Lemongrass | Soy Sauce | Peanut Sauce","Step 1: The Skewers. Slice chicken into strips and thread onto bamboo sticks. | Step 2: The Flavor. Marinate in turmeric, garlic, and soy sauce for at least an hour. | Step 3: The Grill. Grill over high heat until charred and smoky. | Step 4: The Sauce. Serve with a warm, thick sauce made from ground peanuts and chilies."
"falafel","Middle Eastern Falafel","Crispy fried balls of ground chickpeas and fresh herbs.","25 mins","330","Middle Eastern | Street Food | Vegan | Quick","Dried Chickpeas (soaked) | Parsley | Coriander | Garlic | Cumin","Step 1: The Mix. Pulse soaked chickpeas with herbs and garlic in a food processor until it looks like coarse sand. | Step 2: The Balls. Form into small balls or thick discs. | Step 3: The Fry. Deep-fry until the outside is dark brown and very crispy. | Step 4: The Wrap. Serve inside a warm pita with salad and garlic sauce."
"chimichanga","Deep-Fried Chimichanga","A large burrito stuffed with meat and cheese, then fried until the shell is shattering-crisp.","20 mins","650","Mexican-American | Street Food | Indulgent | Crispy","Large Flour Tortilla | Shredded Chicken or Beef | Refried Beans | Cheese","Step 1: The Wrap. Fill the tortilla with meat, beans, and cheese. Fold tightly so nothing leaks out. | Step 2: The Fry. Fry in hot oil until the whole tortilla is golden and crispy. | Step 3: The Top. Place on a plate and cover with salsa, sour cream, and guacamole. | Step 4: Serve. Eat while the shell is still hot and crunchy."
"empanadas","Golden Beef Empanadas","Hand-held pastry pockets filled with spiced meat, raisins, and olives.","45 mins","240","Latin American | Street Food | Pastry | Savory","Pastry Dough Circles | Ground Beef | Onions | Cumin | Hard-boiled Eggs | Olives","Step 1: The Filling. Cook beef with onions and spices until savory and dry. | Step 2: The Fold. Place a spoonful of filling in the center of a dough circle. Fold in half. | Step 3: The Seal. Use a fork or your fingers to pinch and fold the edges shut. | Step 4: The Bake/Fry. Bake until golden brown or fry for a crispier finish."
"pirozhki","Russian Pirozhki","Small, soft yeast buns filled with savory ingredients like cabbage or meat.","90 mins","220","Russian | Street Food | Comfort | Soft","Yeast Dough | Sautéed Cabbage | Boiled Eggs | Onions","Step 1: The Dough. Make a soft, slightly sweet yeast dough and let it rise. | Step 2: The Filling. Cook cabbage with onions and chopped eggs until tender. | Step 3: The Shape. Wrap small amounts of dough around the filling. | Step 4: The Finish. Bake in the oven or fry in a pan until golden and fluffy."
"anticuchos","Peruvian Grilled Skewers (Anticuchos)","Boldly spiced meat skewers grilled to perfection, a staple of Lima's streets.","30 mins","310","Peruvian | Street Food | Protein | Spicy","Beef Heart or Steak | Aji Panca Chili Paste | Garlic | Vinegar | Cumin","Step 1: The Skewers. Cut meat into thick chunks and thread onto skewers. | Step 2: The Flavor. Marinate in a bold mixture of chili paste, vinegar, and garlic. | Step 3: The Grill. Grill over high heat, brushing with extra marinade until charred. | Step 4: Serve. Usually served with a boiled potato and a spicy green sauce."
"coxinha","Brazilian Chicken Coxinha","Teardrop-shaped croquettes filled with creamy shredded chicken.","60 mins","280","Brazilian | Street Food | Crispy | Popular","Chicken Breast | Cream Cheese | Flour | Chicken Broth | Breadcrumbs","Step 1: The Filling. Mix shredded cooked chicken with cream cheese and herbs. | Step 2: The Dough. Cook flour in chicken broth until it forms a thick, workable dough. | Step 3: The Shape. Wrap a piece of dough around the chicken filling and shape it like a teardrop. | Step 4: The Coating. Dip in egg, then breadcrumbs, and deep-fry until golden brown and crispy."
"mango sticky rice","Authentic Thai Mango Sticky Rice","The classic Thai dessert of sweet, coconut-infused glutinous rice served with perfectly ripe, sliced mangoes.","40 mins","380","Thai | Dessert | Fruit | Classic","1 cup Glutinous (Sticky) Rice | 1 cup Coconut Milk | 1/2 cup Sugar | 1/2 tsp Salt | 2 Ripe Mangoes | Toasted Mung Beans or Sesame seeds","Step 1: Getting Ready. Soak the sticky rice in water for at least 4 hours (overnight is best) to soften the grains. | Step 2: The Steam. Drain the rice and steam it in a steamer basket or cheesecloth for 20-25 minutes until tender and translucent. | Step 3: The Sauce. While the rice steams, heat coconut milk, sugar, and salt in a small pan. Stir until the sugar dissolves. Do not let it boil. | Step 4: The Mix. Transfer the hot steamed rice to a bowl and pour 3/4 of the warm coconut sauce over it. Cover and let it sit for 20 minutes so the rice absorbs the liquid. | Step 5: Serving. Slice fresh mangoes. Place a mound of rice on a plate, drizzle with the remaining sauce, and top with toasted mung beans or sesame seeds."
"palak paneer","Authentic Palak Paneer","A beloved North Indian dish of soft paneer cheese cubes in a smooth, vibrant spinach sauce.","35 mins","320","Indian | Vegetarian | Healthy | Classic","Spinach (Palak) | Paneer (Indian Cheese) | Onions | Tomatoes | Ginger-Garlic Paste | Turmeric | Cumin Powder | Garam Masala | Heavy Cream (optional)","Step 1: The Green Base. Boil spinach leaves for 2 minutes, then immediately dip in cold water. Blend into a smooth, bright green sauce. | Step 2: The Sauté. Cook finely diced onions and tomatoes in a pan until they are soft and the oil starts to separate. | Step 3: The Sauce. Stir in the spinach sauce and bring to a gentle simmer. | Step 4: The Cheese. Gently fold in the paneer cubes. You can grill them first for extra texture if you like. | Step 5: Finishing. Stir in the spices (cumin, turmeric, garam masala) and a splash of cream for a silky finish. Serve with hot naan or rice."
"baguette","French Crusty Baguette","The iconic long French bread with a thin, crispy crust and a light, airy inside.","180 mins","250","French | Bread | Baking | Classic","Bread Flour | Water | Yeast | Salt","Step 1: The Dough. Mix flour, water, yeast, and salt into a sticky dough. | Step 2: Working the Dough. Stretch and fold the dough every 30 minutes for 2 hours to build strength. | Step 3: The Shape. Roll into long, thin logs and let them rise on a floured cloth. | Step 4: The Bake. Score the top with a sharp knife and bake with steam until dark golden and crispy."
"croissant","Buttery French Croissant","A flaky, golden-brown pastry made by folding many layers of butter into the dough.","240 mins","350","French | Pastry | Breakfast | Technique","Flour | Butter (lots of it) | Milk | Sugar | Yeast","Step 1: The Base. Make a soft yeast dough and chill it in the fridge. | Step 2: The Butter Layer. Place a flat block of cold butter on the dough and fold it over. | Step 3: Folding. Roll out the dough and fold it like a letter three times, chilling between each fold to create layers. | Step 4: The Shape. Cut into triangles, roll them up, and let them rise until very light. | Step 5: The Bake. Brush with egg and bake until puffed, flaky, and golden brown."
"brioche","Rich French Brioche","A very soft and buttery bread that is almost like a cake, perfect for French toast.","150 mins","320","French | Bread | Rich | Baking","Flour | Eggs | Butter | Milk | Sugar | Yeast","Step 1: The Mix. Combine flour, yeast, sugar, and eggs in a bowl. | Step 2: Adding Butter. Gradually work in softened butter until the dough is smooth and glossy. | Step 3: Letting it Rise. Let the dough rise until doubled in size, then chill it to make it easier to handle. | Step 4: The Bake. Shape into small balls or a loaf, let rise again, and bake until dark golden."
"sourdough","San Francisco Sourdough","A tangy, crusty bread made using a natural yeast mixture for a deep flavor.","360 mins","280","American | Bread | Healthy | Classic","Sourdough Starter | Bread Flour | Water | Salt","Step 1: The Mix. Combine the starter with flour and water. Let it rest for 30 mins. | Step 2: The Stretch. Stretch and fold the dough several times over 4 hours. | Step 3: The Shape. Form into a tight round ball and let it rise in a basket overnight in the fridge. | Step 4: The Bake. Bake in a hot Dutch oven to trap steam for a perfectly crispy crust."
"english muffin","Toasted English Muffins","Small, round, spongy breads with 'nooks and crannies' perfect for butter and jam.","90 mins","150","British | Bread | Breakfast | Quick","Flour | Milk | Butter | Yeast | Cornmeal","Step 1: The Dough. Mix a soft, wet dough and let it rise until bubbly. | Step 2: The Shape. Cut into circles and coat the bottom with cornmeal. | Step 3: The Griddle. Instead of baking, cook these in a pan over low heat until golden on both sides. | Step 4: Serve. Split open with a fork (not a knife!) to preserve the holes inside."
"scone","Classic British Scones","Simple, lightly sweet breads that are a staple of afternoon tea.","30 mins","240","British | Bread | Tea Time | Quick","Self-raising Flour | Butter | Milk | Sugar | Pinch of Salt","Step 1: The Crumble. Rub cold butter into the flour with your fingertips until it looks like crumbs. | Step 2: The Mix. Quickly stir in milk and sugar to form a soft dough. Do not overwork it! | Step 3: The Shape. Roll out thick and cut into circles. | Step 4: The Bake. Bake at high heat for 12-15 mins until well-risen and golden."
"bagel","New York Style Bagels","Chewy, ring-shaped bread that is boiled before baking for a unique texture.","120 mins","290","American | Bread | Breakfast | Classic","High-Protein Flour | Water | Yeast | Malt Syrup or Honey | Salt","Step 1: The Ring. Make a very stiff dough and shape into rings. | Step 2: The Boil. Boil the rings in water with a little honey for 1 minute on each side. | Step 3: The Toppings. Dip the wet bagels into sesame seeds, poppy seeds, or salt. | Step 4: The Bake. Bake at high heat until they have a shiny, chewy crust."
"banana bread","Moist Banana Bread","A sweet, cake-like bread made from overripe bananas. A perfect way to use up fruit.","60 mins","320","American | Sweet Bread | Easy | Baking","Overripe Bananas | Melted Butter | Sugar | Egg | Vanilla | Baking Soda | Flour","Step 1: The Mash. Mash the bananas with a fork until smooth. | Step 2: The Mix. Stir in the butter, sugar, egg, and vanilla. | Step 3: The Dry. Fold in the baking soda and flour until just combined. | Step 4: The Bake. Pour into a loaf pan and bake for 50-60 mins until a toothpick comes out clean."
"concha","Mexican Shell Bread (Concha)","A soft sweet roll topped with a beautiful, crunchy sugar crust shaped like a seashell.","150 mins","310","Mexican | Sweet Bread | Breakfast | Colorful","Bread Flour | Milk | Butter | Eggs | Yeast | Sugar | Shortening (for topping)","Step 1: The Bun. Make a soft, sweet yeast dough and let it rise until fluffy. | Step 2: The Topping. Mix sugar, flour, and shortening into a paste. Flatten into thin circles. | Step 3: The Design. Place the sugar circle on the bun and use a knife to score a shell pattern. | Step 4: The Bake. Let rise again and bake until the bun is soft and the topping is crunchy."
"pan de muerto","Bread of the Dead (Pan de Muerto)","An orange-scented sweet bread made for traditional Mexican celebrations.","180 mins","280","Mexican | Sweet Bread | Holiday | Traditional","Flour | Butter | Eggs | Yeast | Orange Zest | Anise Seeds | Sugar","Step 1: The Flavor. Mix orange zest and anise seeds into a buttery yeast dough. | Step 2: The Bones. Save a little dough to shape into 'bones' and a small ball to place on top of the round loaf. | Step 3: The Bake. Bake until golden brown and fragrant. | Step 4: The Finish. Brush with melted butter and roll in sugar while still warm."
"mooncake","Traditional Mooncake","A dense, rich pastry with a sweet filling, traditionally enjoyed during the Mid-Autumn Festival.","120 mins","450","Chinese | Dessert | Holiday | Traditional","Flour | Golden Syrup | Alkaline Water | Peanut Oil | Lotus Seed Paste | Salted Egg Yolks","Step 1: The Skin. Mix flour, syrup, and oil into a soft dough. Let it rest. | Step 2: The Filling. Wrap a piece of sweet paste around a salted egg yolk. | Step 3: The Mold. Wrap the dough skin around the filling and press into a decorated mooncake mold. | Step 4: The Bake. Bake briefly, brush with egg wash, and bake again until golden."
"pineapple bun","Hong Kong Pineapple Bun","A soft, sweet bun with a crunchy, sugary topping that resembles a pineapple's skin.","150 mins","340","Chinese | Bread | Breakfast | Classic","Bread Flour | Milk | Butter | Yeast | Sugar | Lard or Butter (for topping)","Step 1: The Bun. Make a standard soft milk bread dough and let it rise. | Step 2: The Topping. Mix flour, sugar, lard, and egg yolk to make a crumbly paste. | Step 3: The Assembly. Place a thin disc of the topping on each bun. | Step 4: The Bake. Bake at high heat until the topping cracks and becomes golden and crispy."
"brownie","Fudgy Chocolate Brownies","The ultimate chocolate treat—dense, moist, and incredibly rich.","40 mins","280","American | Dessert | Chocolate | Easy","Dark Chocolate | Butter | Sugar | Eggs | Vanilla | Flour | Cocoa Powder","Step 1: The Melt. Melt chocolate and butter together until shiny and smooth. | Step 2: The Mix. Whisk in sugar and eggs until the mixture is thick and glossy. | Step 3: The Dry. Gently fold in flour and cocoa powder. Add nuts or chocolate chips if you like. | Step 4: The Bake. Bake for 25-30 mins. It should still be a little soft in the middle!"
"egg tart","Flaky Cantonese Egg Tarts","Small pastry shells filled with a smooth, sweet, and wobbly egg custard.","60 mins","180","Chinese | Dessert | Pastry | Classic","Puff Pastry or Shortcrust | Eggs | Milk | Sugar | Vanilla","Step 1: The Shells. Line small tart molds with thin layers of flaky pastry. | Step 2: The Custard. Whisk eggs, milk, sugar, and vanilla together. Strain to make it perfectly smooth. | Step 3: The Fill. Pour the custard into the shells. | Step 4: The Bake. Bake until the pastry is golden and the custard is just set but still wobbly."
"texas toast","Buttery Texas Toast","Extra-thick slices of bread toasted with a heavy coating of garlic and herb butter.","10 mins","210","American | Bread | Side Dish | Quick","Thick White Bread | Butter | Garlic Powder | Parsley","Step 1: The Butter. Mix softened butter with garlic and parsley. | Step 2: The Coat. Spread a thick layer of butter on both sides of each bread slice. | Step 3: The Grill. Grill in a pan or on a griddle over medium heat. | Step 4: The Finish. Toast until both sides are dark golden and crispy."
"chelsea bun","Sweet Chelsea Buns","A classic British sweet roll filled with currants, spice, and plenty of sugar.","120 mins","310","British | Sweet Bread | Traditional | Sweet","Bread Flour | Milk | Butter | Yeast | Currants | Mixed Spice | Sugar","Step 1: The Dough. Make a soft yeast dough and let it rise until doubled. | Step 2: The Roll. Roll out into a large rectangle and brush with melted butter. | Step 3: The Filling. Sprinkle with a thick layer of currants, sugar, and spice. Roll up tightly into a log. | Step 4: The Bake. Cut the log into thick slices, place in a tray, let rise, and bake until golden."
"roti","Everyday Whole Wheat Roti","The most loved daily bread of India — a thin, soft whole wheat flatbread cooked on a hot griddle.","20 mins","80","Indian | Bread | Everyday | Vegan","2 cups Whole Wheat Flour (Atta) | 3/4 cup Water | 1/2 tsp Salt | 1 tsp Oil (optional)","Step 1: The Dough. Mix atta, salt, and water. Knead for 5-7 minutes until the dough is soft and smooth. Rest it for 15 minutes. | Step 2: The Balls. Divide into small balls (about golf ball size). | Step 3: The Roll. Dust with flour and roll each ball into a thin, even circle. | Step 4: The Cook. Place on a hot tawa (griddle) for 30 seconds until small bubbles appear. Flip and cook the other side. Press gently with a cloth so it puffs up. | Step 5: Finish. Brush with a little ghee and serve hot."
"chapati","Soft Chapati","A thin, unleavened whole-wheat flatbread — the everyday staple for millions across India.","20 mins","80","Indian | Bread | Vegan | Staple","2 cups Whole Wheat Flour | 3/4 cup Warm Water | Salt to taste","Step 1: The Dough. Combine flour and salt. Add water gradually and knead into a soft, pliable dough. Cover and rest for 20 minutes. | Step 2: The Roll. Make small balls and roll into thin rounds using a rolling pin. | Step 3: The Cook. Cook on a dry hot tawa for 30–40 seconds each side. | Step 4: The Puff. Move directly onto the flame and it will puff up like a balloon. That means it's perfect! | Step 5: Finish. Apply ghee and serve immediately."
"phulka","Balloon Phulka","A roti that is finished directly over the flame, making it puff up beautifully into a light, hollow bread.","15 mins","70","Indian | Bread | Healthy | Low-Fat","2 cups Whole Wheat Flour | Water | Salt","Step 1: The Dough. Make a soft, smooth dough and rest for 15 minutes. | Step 2: The Roll. Roll into very thin circles — thinner than a standard roti. | Step 3: The Tawa. Cook one side on a hot tawa for 20 seconds. | Step 4: The Flame. Move directly onto the gas flame and hold with tongs. It will puff up fully in seconds. | Step 5: Finish. Apply ghee and serve. No oil needed for cooking!"
"naan","Classic Butter Naan","A soft, pillowy leavened bread from North India, traditionally baked in a clay tandoor oven.","90 mins","260","Indian | Bread | North Indian | Restaurant Style","2 cups All-Purpose Flour (Maida) | 1/2 cup Yogurt | 1 tsp Dry Yeast | 1 tsp Sugar | 1 tsp Salt | 2 tbsp Butter | Garlic, Coriander for topping","Step 1: The Yeast. Mix yeast with warm water and sugar. Let it sit for 10 minutes until foamy. | Step 2: The Dough. Mix flour, yogurt, and salt. Add the yeast mixture and knead into a soft dough. Let it rise for 1 hour. | Step 3: The Shape. Divide and roll into oval or teardrop shapes. | Step 4: The Cook. Cook in a very hot pan or press onto the sides of a preheated oven. | Step 5: Finish. Brush immediately with garlic butter and fresh coriander."
"tandoori roti","Smoky Tandoori Roti","A thick whole-wheat bread baked in the fierce heat of a clay tandoor, giving it a distinctive smoky, charred flavor.","30 mins","110","Indian | Bread | Tandoor | North Indian","2 cups Whole Wheat Flour | 1/4 cup Yogurt | Water | Salt | Butter","Step 1: The Dough. Mix flour, yogurt, salt, and enough water to make a firm but pliable dough. Rest for 30 minutes. | Step 2: The Shape. Roll into thick rounds, thicker than a regular roti. | Step 3: The Tandoor (Pan Method). Press onto the wall of a very hot preheated pan or use a cast-iron skillet under a broiler. | Step 4: The Char. Cook until brown spots appear on the surface. | Step 5: Finish. Apply butter and serve hot."
"paratha","Flaky Layered Paratha","A multi-layered Indian flatbread that is pan-fried with ghee, creating flaky, crispy layers.","25 mins","180","Indian | Bread | Breakfast | Layered","2 cups Whole Wheat Flour | Water | Salt | Ghee for cooking","Step 1: The Dough. Knead a soft dough and rest for 15 minutes. | Step 2: The Roll. Roll into a thin circle and spread ghee generously. | Step 3: The Fold. Fold into a triangle or roll into a log, then fold again to create layers. | Step 4: The Re-Roll. Roll out the folded dough gently to keep the layers intact. | Step 5: The Fry. Cook on a hot tawa with ghee, pressing gently until both sides are golden brown and flaky."
"aloo paratha","Stuffed Aloo Paratha","The king of Indian breakfasts — a whole wheat flatbread stuffed with spiced mashed potatoes and pan-fried in ghee.","35 mins","300","Indian | Bread | Breakfast | Vegetarian | Popular","2 cups Whole Wheat Flour | 3 Boiled Potatoes | Green Chili | Coriander | Cumin | Ajwain (Carom Seeds) | Ghee","Step 1: The Filling. Mash the potatoes and mix with chopped green chili, fresh coriander, salt, and cumin. Make sure it's not too wet. | Step 2: The Dough. Prepare a soft dough and divide into balls. | Step 3: The Stuff. Flatten each ball, place the potato filling in the center, and close the edges like a bundle. | Step 4: The Re-Roll. Gently roll out the stuffed ball without breaking the dough. | Step 5: The Fry. Cook on a hot tawa with generous ghee on both sides until golden brown and crispy."
"puri","Puffy Golden Puri","A deep-fried unleavened whole-wheat bread that puffs up into a golden balloon when it hits the hot oil.","20 mins","150","Indian | Bread | Deep-Fried | Festive","2 cups Whole Wheat Flour | Water | Salt | 1 tsp Oil | Oil for deep frying","Step 1: The Dough. Mix flour, salt, and a little oil. Add water and knead into a firm, stiff dough — stiffer than roti dough. | Step 2: The Rest. Cover and rest for 10 minutes. | Step 3: The Circles. Roll into small, thin rounds. | Step 4: The Fry. Heat oil until very hot. Slide in a puri and press it gently with a spoon — it will puff up like a balloon! | Step 5: Finish. Drain and serve immediately with aloo sabzi or halwa."
"bhatura","Fluffy Bhatura","A large, pillowy, deep-fried bread made with leavened dough — the perfect partner for Chole (chickpea curry).","90 mins","280","Indian | Bread | North Indian | Deep-Fried","2 cups All-Purpose Flour | 1/2 cup Yogurt | 1/2 tsp Baking Soda | 1 tsp Sugar | Salt | Oil for deep frying","Step 1: The Dough. Mix flour, yogurt, baking soda, sugar, and salt. Knead into a smooth dough. The yogurt acts as the leavening agent. | Step 2: The Rest. Cover with a wet cloth and let it rest for at least 1 hour. | Step 3: The Shape. Roll into large oval shapes, slightly thicker than a puri. | Step 4: The Fry. Fry in very hot oil, pressing gently so it puffs up. | Step 5: Serve. Always eat fresh — it deflates as it cools, so serve immediately with Chole."
